pos0,pos1,neg0,neg1
"the pinochet case is a searing album of remembrance from those who , having survived , suffered most .",a bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation .,"high crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd .",it's one long bore .
"the last kiss will probably never achieve the popularity of my big fat greek wedding , but its provocative central wedding sequence has far more impact .","devos and cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable .",it's one long bore .,this ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .
it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight .,"a solid cast , assured direction and complete lack of modern day irony .","as crimes go , writer-director michael kalesniko's how to kill your neighbor's dog is slight but unendurable .","seagal ran out of movies years ago , and this is just the proof ."
"what could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking .","there's back-stabbing , inter-racial desire and , most importantly , singing and dancing .","when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while .",another in-your-face wallow in the lower depths made by people who have never sung those blues .
"rain is a small treasure , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic .","though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",this sort of cute and cloying material is far from zhang's forte and it shows .,"feels like pieces a bunch of other , better movies slapped together ."
"andy garcia enjoys one of his richest roles in years and mick jagger gives his best movie performance since , well , performance .",nicholson's understated performance is wonderful . as warren he stumbles in search of all the emotions and life experiences he's neglected over the years .,"hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound .",doesn't amount to much of anything .
it is inspirational in characterizing how people from such diverse cultures share the same human and spiritual needs .,it's one heck of a character study -- not of hearst or davies but of the unique relationship between them .,"77 minutes of pokemon may not last 4ever , it just seems like it does . my only wish is that celebi could take me back to a time before i saw this movie and i could just skip it .","while there's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer"
it's as close as we'll ever come to looking through a photographer's viewfinder as he works .,gently humorous and touching .,only in its final surprising shots does rabbit-proof fence find the authority it's looking for .,more maudlin than sharp .
norton holds the film together .,a savvy exploration of paranoia and insecurity in america's culture of fear .,"collateral damage is , despite its alleged provocation post-9/11 , an antique , in the end . as are its star , its attitude and its obliviousness .","these spiders can outrun a motorcycle and wrap a person in a sticky cocoon in seconds , but they fall short of being interesting or entertaining ."
"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively .","a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined .",a picture as erratic as its central character .,a listless and desultory affair .
it's great escapist fun that recreates a place and time that will never happen again .,"while the now 72-year-old robert evans been slowed down by a stroke , he has at least one more story to tell : his own .","ends up being mostly about ravishing costumes , eye-filling , wide-screen production design and joan's wacky decision to stand by her man , no matter how many times he demonstrates that he's a disloyal satyr .","the rest of the plot is impossible to explain without blowing whatever tension there is , although it's more comedy than suspense de palma creates ."
will amuse and provoke adventurous adults in specialty venues .,"not the best herzog perhaps , but unmistakably herzog .",i can't remember the last time i saw worse stunt editing or cheaper action movie production values than in extreme ops .,a domestic melodrama with weak dialogue and biopic cliches .
engagingly captures the maddening and magnetic ebb and flow of friendship .,"for movie lovers as well as opera lovers , tosca is a real treat .","the redeeming feature of chan's films has always been the action , but the stunts in the tuxedo seem tired and , what's worse , routine .","big fat liar is little more than home alone raised to a new , self-deprecating level ."
"hilarious , acidic brit comedy .",touché !,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","while easier to sit through than most of jaglom's self-conscious and gratingly irritating films , it's still tainted by cliches , painful improbability and murky points ."
a beautifully observed character piece .,"now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism .","slap me , i saw this movie .","my reaction in a word : disappointment . his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it ."
funny and also heartwarming without stooping to gooeyness .,"despite the predictable parent vs . child coming-of-age theme , first-class , natural acting and a look at "" the real americans "" make this a charmer .","there's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do joan and philip's repetitive arguments , schemes and treachery .","if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive-ins ."
[a] rare movie that makes us re-assess the basis for our lives and evaluate what is truly ours in a world of meaningless activity .,"ok arthouse . the power of this script , and the performances that come with it , is that the whole damned thing didn't get our moral hackles up .",. . . one resurrection too many .,"feels at times like a giant commercial for universal studios , where much of the action takes place ."
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling .",an emotionally strong and politically potent piece of cinema .,"while certainly more naturalistic than its australian counterpart , amari's film falls short in building the drama of lilia's journey .","in the end , there isn't much to it ."
a compelling portrait of moral emptiness,well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,like being trapped at a perpetual frat party . . . how can something so gross be so boring ?,"one of the more irritating cartoons you will see this , or any , year ."
makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran's borderlands .,a devastating indictment of unbridled greed and materalism .,"judd's characters ought to pick up the durable best seller smart women , foolish choices for advice .",nothing more substantial than a fitfully clever doodle .
"'no es la mejor cinta de la serie , ni la mejor con brosnan a la cabeza , pero de que entretiene ni duda cabe . '","legendary irish writer brendan behan's memoir , borstal boy , has been given a loving screen transferral .","all in all , road to perdition is more in love with strangeness than excellence .",this is so bad .
this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .,"it understands , in a way that speaks forcefully enough about the mechanisms of poverty to transcend the rather simplistic filmmaking .",heavy-handed exercise in time-vaulting literary pretension .,"if kaufman kept cameron diaz a prisoner in a cage with her ape , in his latest , he'd have them mate ."
a cautionary tale about the grandiosity of a college student who sees himself as impervious to a fall .,"el peso de un líquido incoloro , el peso del líquido vital , del amor como elemento de vida , y de muerte . . .",a great ensemble cast can't lift this heartfelt enterprise out of the familiar .,"illiterate , often inert sci-fi action thriller ."
"the old-world- meets-new mesh is incarnated in the movie's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater .",it's never dull and always looks good .,"well , jason's gone to manhattan and hell , i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , don't shoot the messenger ) .","neither as scary-funny as tremors nor demented-funny as starship troopers , the movie isn't tough to take as long as you've paid a matinee price ."
"despite its hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of "" lilo "" could have been pulled from a tear-stained vintage shirley temple script .","what "" empire "" lacks in depth it makes up for with its heart .",long time dead ? not nearly long enough .,dolman confines himself to shtick and sentimentality -- the one bald and the other sloppy .
"gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet's mouth .","whether or not you buy mr . broomfield's findings , the film acquires an undeniable entertainment value as the slight , pale mr . broomfield continues to force himself on people and into situations that would make lesser men run for cover .",""" the kid stays in the picture "" is a great story , terrifically told by the man who wrote it but this cliff notes edition is a cheat .","first good , then bothersome . excellent acting and direction ."
"the lightest , most breezy movie steven spielberg has made in more than a decade . and the positive change in tone here seems to have recharged him .","in its treatment of the dehumanizing and ego-destroying process of unemployment , time out offers an exploration that is more accurate than anything i have seen in an american film .",barely goes beyond comic book status .,"plot , characters , drama , emotions , ideas -- all are irrelevant to the experience of seeing the scorpion king ."
"as broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism .","a minor work yet there's no denying the potency of miller's strange , fleeting brew of hopeful perseverance and hopeless closure .",a wretched movie that reduces the second world war to one man's quest to find an old flame .,a prolonged extrusion of psychopathic pulp .
"it is risky , intelligent , romantic and rapturous from start to finish .","you won't believe much of it , but you will laugh at the audacity , at the who's who casting and the sheer insanity of it all .","supposedly , pokemon can't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over .","impostor has a handful of thrilling moments and a couple of good performances , but the movie doesn't quite fly . for starters , the story is just too slim ."
"desta vez , columbus capturou o pomo de ouro .","whenever you think you've figured out late marriage , it throws you for a loop .","well before it's over , beijing bicycle begins spinning its wheels .","like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness ."
it's solid and affecting and exactly as thought-provoking as it should be .,beautifully crafted and cooly unsettling . . . recreates the atmosphere of the crime expertly .,"writhing under dialogue like 'you're from two different worlds' and 'tonight the maid is a lie and this , this is who you are , ' this schlock-filled fairy tale hits new depths of unoriginality and predictability .","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration ."
a worthy entry into a very difficult genre .,"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .","for a story set at sea , ghost ship is pretty landbound , with its leaden acting , dull exposition and telegraphed 'surprises . '",turns a potentially interesting idea into an excruciating film school experience that plays better only for the film's publicists or for people who take as many drugs as the film's characters
"nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .",it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,"'it's painful to watch witherspoon's talents wasting away inside unnecessary films like legally blonde and sweet home abomination , i mean , alabama . '","it has more in common with a fireworks display than a movie , which normally is expected to have characters and a storyline ."
"this may be dover kosashvili's feature directing debut , but it looks an awful lot like life -- gritty , awkward and ironic .","a journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance .","super troopers is an odd amalgam of comedy genres , existing somewhere between the often literal riffs of early zucker brothers/abrahams films , and the decidedly foul stylings of their post-modern contemporaries , the farrelly brothers .","there's an audience for it , but it could have been funnier and more innocent ."
"it's tough to watch , but it's a fantastic movie .","windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",the big ending surprise almost saves the movie . it's too bad that the rest isn't more compelling .,sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest .
"the picture runs a mere 84 minutes , but it's no glance . it's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing .",forgettable horror -- more gory than psychological -- with a highly satisfying quotient of friday-night excitement and milla power .,"mr . goyer's loose , unaccountable direction is technically sophisticated in the worst way .","[e]ventually , every idea in this film is flushed down the latrine of heroism ."
"as bundy , michael reilly burke ( octopus 2 : river of fear ) has just the right amount of charisma and menace .",there's a vastness implied in metropolis that is just breathtaking .,possibly the most irresponsible picture ever released by a major film studio .,. . . ( like ) channel surfing between the discovery channel and a late-night made-for-cable action movie .
"it may sound like a mere disease-of- the-week tv movie , but a song for martin is made infinitely more wrenching by the performances of real-life spouses seldahl and wollter .","with spy kids 2 : the island of lost dreams , the spy kids franchise establishes itself as a durable part of the movie landscape : a james bond series for kids .",blue crush is so prolonged and boring it isn't even close to being the barn-burningly bad movie it promised it would be .,"boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect ."
an endearingly offbeat romantic comedy with a great meet-cute gimmick .,it's a solid movie about people whose lives are anything but .,"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment .",mr . soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious .
one of the more intelligent children's movies to hit theaters this year .,hartley adds enough quirky and satirical touches in the screenplay to keep the film entertaining .,cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle .,an already thin story boils down to surviving invaders seeking an existent anti-virus . if only there were one for this kind of movie .
"morvern callar confirms lynne ramsay as an important , original talent in international cinema .","branagh , in his most forceful non-shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit .","before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , steven shainberg's adaptation of mary gaitskill's harrowing short story . . . is a brilliantly played , deeply unsettling experience .","it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call ."
"this film is not a love letter for the slain rappers , it's a taunt -a call for justice for two crimes from which many of us have not yet recovered .","if there's nothing fresh about wannabes , which was written by mr . demeo , who produced and directed the film with charles a . addessi , much of the time the movie feels authentic .","despite an impressive roster of stars and direction from kathryn bigelow , the weight of water is oppressively heavy .",a domestic melodrama with weak dialogue and biopic cliches .
only two words will tell you what you know when deciding to see it : anthony . hopkins .,the riveting performances by the incredibly flexible cast make love a joy to behold .,"with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is . he fails .",rodriguez . . . was unable to reproduce the special spark between the characters that made the first film such a delight .
"hollywood ending is not show-stoppingly hilarious , but scathingly witty nonetheless .",this movie has the usual impossible stunts . . . but it has just as many scenes that are lean and tough enough to fit in any modern action movie .,the only thing in pauline and paulette that you haven't seen before is a scene featuring a football field-sized oriental rug crafted out of millions of vibrant flowers .,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .
the film is predictable in the reassuring manner of a beautifully sung holiday carol .,"reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",make like the title and dodge this one .,this is a heartfelt story . . . it just isn't a very involving one .
"it's jagger's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite .",a clever blend of fact and fiction .,a sudsy cautionary tale .,"not every animated film from disney will become a classic , but forgive me if i've come to expect more from this studio than some 79-minute after-school "" cartoon "" ."
the scorpion king is more fun than conan the barbarian .,it's a movie -- and an album -- you won't want to miss .,it's never a good sign when a film's star spends the entirety of the film in a coma . it's a worse sign when you begin to envy her condition .,"never again swings between false sentiment and unfunny madcap comedy and , along the way , expects the audience to invest in the central relationship as some kind of marriage of true minds ."
"it's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director's previous full frontal .",". . . only bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction .","worth seeing once , but its charm quickly fades .",stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .
"though the film's scenario is certainly not earthshaking , this depiction of fluctuating female sexuality has two winning lead performances and charm to spare .","decasia is what has happened already to so many silent movies , newsreels and the like . the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .",labute was more fun when his characters were torturing each other psychologically and talking about their genitals in public .,"it is bad , but certainly not without merit as entertainment ."
"o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing .","this filmed tosca -- not the first , by the way -- is a pretty good job , if it's filmed tosca that you want . i'll stay with the stage versions , however , which bite cleaner , and deeper .",a painfully leaden film destined for pre-dawn cable television slots .,solondz may well be the only one laughing at his own joke
one of the greatest romantic comedies of the past decade .,"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul .","if you think it's a riot to see rob schneider in a young woman's clothes , then you'll enjoy the hot chick .","first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people ."
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker's motherland .","amazing ! a college story that works even without vulgarity , sex scenes , and cussing !","producer john penotti surveyed high school students . . . and came back with the astonishing revelation that "" they wanted to see something that didn't talk down to them . "" ignoring that , he made swimfan anyway",woody allen can write and deliver a one liner as well as anybody . but i had a lot of problems with this movie .
""" home movie "" is a sweet treasure and something well worth your time .",. . . quite endearing .,"it doesn't help that the director and cinematographer stephen kazmierski shoot on grungy video , giving the whole thing a dirty , tasteless feel .","the rest of the plot is impossible to explain without blowing whatever tension there is , although it's more comedy than suspense de palma creates ."
it's a masterpiece .,a historical epic with the courage of its convictions about both scope and detail .,"there's a bit of thematic meat on the bones of queen of the damned , as its origins in an anne rice novel dictate , but generally , it's a movie that emphasizes style over character and substance .","green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project ."
this is a happy throwback to the time when cartoons were cinema's most idiosyncratic form instead of one of its most predictable .,that it'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,"things really get weird , though not particularly scary : the movie is all portent and no content .",this dramatically shaky contest of wills only reiterates the old hollywood saw : evil is interesting and good is boring .
"this enthralling documentary . . . is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .",the moral shrapnel and mental shellshock will linger long after this film has ended .,"the film might have been more satisfying if it had , in fact , been fleshed out a little more instead of going for easy smiles .","the drama was so uninspiring that even a story immersed in love , lust , and sin couldn't keep my attention ."
"smart science fiction for grown-ups , with only a few false steps along the way .",a coming-of-age movie that hollywood wouldn't have the guts to make .,"if you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash .",director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .
"while undisputed isn't exactly a high , it is a gripping , tidy little movie that takes mr . hill higher than he's been in a while .",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","it's an earnest debut full of heartfelt performances , but is ultimately let down by a story that is all too predictable .","as social exposé , skins has its heart in the right place , but that's not much to hang a soap opera on ."
"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video .","[grant's] bumbling magic takes over the film , and it turns out to be another winning star vehicle .",there's not enough to sustain the comedy .,the impact of the armenian genocide is diluted by too much stage business in the modern day .
a four star performance from kevin kline who unfortunately works with a two star script .,this is art paying homage to art .,"a sterling film - a cross between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the story of matthew shepard , but that film is yet to be made .",cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle .
"though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .","secret ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving .","a shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable .","at times , the movie looks genuinely pretty . your nightmares , on the other hand , will be anything but . not even felinni would know what to make of this italian freakshow ."
poignant japanese epic about adolescent anomie and heartbreak .,"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","contrived , maudlin and cliche-ridden . . . if this sappy script was the best the contest received , those rejected must have been astronomically bad .",no way i can believe this load of junk .
"elling really is about a couple of crazy guys , and it's therapeutic to laugh along with them .",while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .,"the movie feels like it's going to be great , and it carries on feeling that way for a long time , but takeoff just never happens .",a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance . . .
"lasker's canny , meditative script distances sex and love , as byron and luther . . . realize they can't get no satisfaction without the latter .",pretty good little movie .,the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life .,"this is a third-person story now , told by hollywood , and much more ordinary for it ."
farrell . . . thankfully manages to outshine the role and successfully plays the foil to willis's world-weary colonel .,"with rabbit-proof fence , noyce has tailored an epic tale into a lean , economical movie .",snow dogs finds its humour in a black man getting humiliated by a pack of dogs who are smarter than him,"while some of the camera work is interesting , the film's mid-to-low budget is betrayed by the surprisingly shoddy makeup work ."
"heartwarming here relies less on forced air than on petter næss' delicate , clever direction . . . and a wonderful , imaginative script by axel hellstenius .","while obviously aimed at kids , the country bears . . . should keep parents amused with its low groan-to-guffaw ratio .","there must be an audience that enjoys the friday series , but i wouldn't be interested in knowing any of them personally .",chai's structure and pacing are disconcertingly slack .
"a compelling , moving film that respects its audience and its source material .",an interesting look behind the scenes of chicago-based rock group wilco . . .,"full of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general air of misogyny","despite hoffman's best efforts , wilson remains a silent , lumpish cipher ; his encounters reveal nothing about who he is or who he was before ."
"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .","like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you can't fake .","there's no emotional pulse to solaris . with an emotional sterility to match its outer space setting , soderbergh's spectacular swing for the fence yields only a spectacular whiff .",its inescapable absurdities are tantamount to insulting the intelligence of anyone who hasn't been living under a rock ( since sept . 11 ) .
"the movie occasionally threatens to become didactic , but it's too grounded in the reality of its characters to go over the edge . a touch of humor or an unexpected plot twist always pulls it back .","i was amused and entertained by the unfolding of bielinsky's cleverly constructed scenario , and greatly impressed by the skill of the actors involved in the enterprise .","there's not a single jump-in-your-seat moment and believe it or not , jason actually takes a backseat in his own film to special effects .",rice never clearly defines his characters or gives us a reason to care about them .
"birthday girl is an amusing joy ride , with some surprisingly violent moments .","suffice to say that after seeing this movie in imax form , you'll be more acquainted with the tiniest details of tom hanks' face than his wife is .","at the one-hour mark , herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion .","it has the air of a surprisingly juvenile lark , a pop-influenced prank whose charms are immediately apparent and wear thin with repetition ."
a moving and solidly entertaining comedy/drama that should bolster director and co-writer juan josé campanella's reputation in the united states .,"not as good as the full monty , but a really strong second effort .","it wants to be thought of as a subversive little indie film , but it has all the qualities of a modern situation comedy .",has a customarily jovial air but a deficit of flim-flam inventiveness .
"leave it to the french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama .","a lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers .","high crimes carries almost no organic intrigue as a government/ marine/legal mystery , and that's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .","there are touching moments in etoiles , but for the most part this is a dull , dour documentary on what ought to be a joyful or at least fascinating subject ."
"it's funny and human and really pretty damned wonderful , all at once .",a very funny romantic comedy about two skittish new york middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,"jacquot's rendering of puccini's tale of devotion and double-cross is more than just a filmed opera . in his first stab at the form , jacquot takes a slightly anarchic approach that works only sporadically .",lawrence preaches strictly to the converted .
"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .","a respectable venture on its own terms , lacking the broader vision that has seen certain trek films . . . cross over to a more mainstream audience .","the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based 'drama , ' but the emphasis on the latter leaves blue crush waterlogged .","despite slick production values and director roger michell's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours ."
"a journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance .","the whole is quite entertaining , but despite its virtues , there is an unsettled feeling to the film .","for each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike tara reid , whose acting skills are comparable to a cardboard cutout .",. . . comes alive only when it switches gears to the sentimental .
"the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible . it's very beavis and butthead , yet always seems to elicit a chuckle .","nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .","writer/director burr steers emphasizes the q in quirky , with mixed results .","this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie ."
what's most striking about this largely celebratory film . . . is the sense of isolation that permeates these bastions of individuality in an ikea world .,"the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife .",schneider's mugging is relentless and his constant need to suddenly transpose himself into another character undermines the story's continuity and progression .,". . . unlikable , uninteresting , unfunny , and completely , utterly inept ."
"while not as aggressively impressive as its american counterpart , "" in the bedroom , "" moretti's film makes its own , quieter observations","nair's attention to detail creates an impeccable sense of place , while thurman and lewis give what can easily be considered career-best performances .",technically and artistically inept .,"being author wells' great-grandson , you'd think filmmaker simon wells would have more reverence for the material . but this costly dud is a far cry from either the book or the beloved film ."
"intelligent , caustic take on a great writer and dubious human being .","a good film with a solid pedigree both in front of and , more specifically , behind the camera .","try as i may , i can't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , 'thank you ! ' when leguizamo finally plugged an irritating character late in the movie .","the explosion essentially ruined -- or , rather , overpowered -- the fiction of the movie for me ."
it's no lie -- big fat liar is a real charmer .,a tasty appetizer that leaves you wanting more .,you leave feeling like you've endured a long workout without your pulse ever racing .,"all of the elements are in place for a great film noir , but director george hickenlooper's approach to the material is too upbeat ."
"like mike isn't going to make box office money that makes michael jordan jealous , but it has some cute moments , funny scenes , and hits the target audience ( young bow wow fans ) - with nothing but net .","if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",national lampoon's van wilder could be the worst thing to come out of national lampoon since class reunion,you're too conscious of the effort it takes to be this spontaneous .
"blade ii is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she's gonna make you feel like you owe her big-time .","there's back-stabbing , inter-racial desire and , most importantly , singing and dancing .","if you've got a house full of tots -- don't worry , this will be on video long before they grow up and you can wait till then .",simply a re-hash of the other seven films .
"the faithful will enjoy this sometimes wry adaptation of v . s . naipaul's novel , but newcomers may find themselves stifling a yawn or two during the first hour .","what makes how i killed my father compelling , besides its terrific performances , is fontaine's willingness to wander into the dark areas of parent-child relationships without flinching .",serving sara doesn't serve up a whole lot of laughs .,comes . . . uncomfortably close to coasting in the treads of the bicycle thief .
i simply can't recommend it enough .,"although the editing might have been tighter , hush ! sympathetically captures the often futile lifestyle of young people in modern japan .","a 94-minute travesty of unparalleled proportions , writer-director parker seems to go out of his way to turn the legendary wit's classic mistaken identity farce into brutally labored and unfunny hokum .","visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide treasure planet entirely and completely reimagine it ."
"because eight legged freaks is partly an homage to them , tarantula and other low- budget b-movie thrillers of the 1950s and '60s , the movie is a silly ( but not sophomoric ) romp through horror and hellish conditions .","dong shows how intolerance has the power to deform families , then tear them apart .","the jokes are flat , and the action looks fake .","shanghai ghetto should be applauded for finding a new angle on a tireless story , but you might want to think twice before booking passage ."
"the year's happiest surprise , a movie that deals with a real subject in an always surprising way .","ao sair do cinema , eu estava feliz e com saudades de um tempo em que , para mim , a existência de papai noel era um fato inquestionável .","i'm not suggesting that you actually see it , unless you're the kind of person who has seen every wim wenders film of the '70s .",horrid little propaganda film with fascinating connections not only to the serbs themselves but also to a network of american right-wing extremists .
"assured , glossy and shot through with brittle desperation .","brown sugar signals director rick famuyiwa's emergence as an articulate , grown-up voice in african-american cinema .","as written by michael berg and michael j . wilson from a story by wilson , this relentless , all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all .","it believes it's revealing some great human truths , when , in reality , it's churning ground that has long passed the point of being fertile ."
"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",a true-blue delight .,"for the most part , i spy was an amusing lark that will probably rank as one of murphy's better performances in one of his lesser-praised movies .",cinematic poo .
"a quiet , pure , elliptical film","not everything works , but the average is higher than in mary and most other recent comedies .",chai's structure and pacing are disconcertingly slack .,this isn't a movie ; it's a symptom .
"a hugely rewarding experience that's every bit as enlightening , insightful and entertaining as grant's two best films -- four weddings and a funeral and bridget jones's diary .",nolan bravely treads where few american films dare to delve -- into the world of ambivalence and ambiguity . . .,the project's filmmakers forgot to include anything even halfway scary as they poorly rejigger fatal attraction into a high school setting .,"an easy watch , except for the annoying demeanour of its lead character ."
"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end . it's still worth a look .","if you can get past the taboo subject matter , it will be well worth your time .","the film doesn't have enough innovation or pizazz to attract teenagers , and it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences .","stale , futile scenario ."
if you're a fan of the series you'll love it and probably want to see it twice . i will be .,only two words will tell you what you know when deciding to see it : anthony . hopkins .,'a' for creativity but comes across more as a sketch for a full-length comedy .,"devolves into the derivative , leaning on badly-rendered cgi effects ."
